web-scraper-order,web-scraper-start-url,containers_links,containers_links-href,marque,annee,prix,adresse,proprietaire
"1752626580-1","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Fusion 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134587","Ford Fusion 2013 Dakar","Année: 2013","30 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1752626583-2","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Explorer 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-134586","Ford Explorer 2012 Dakar","Année: 2012","40 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1752626588-3","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Hyundai Elantra 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134581","Hyundai Elantra 2017 Dakar","Année: 2017","35 000 F CFA","Yoff                    
                
                                    
                        Dakar","Abdia Sn"
"1752626593-4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Dodge Journey 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/journey/annonce-134585","Dodge Journey 2012 Dakar","Année: 2012","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626596-5","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Hyundai Elantra 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134584","Hyundai Elantra 2016 Dakar","Année: 2016","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626600-6","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Mazda cx5 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx5/annonce-134579","Mazda cx5 2013 Dakar","Année: 2013","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626604-7","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Chevrolet Equinox 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-134578","Chevrolet Equinox 2012 Dakar","Année: 2012","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626608-8","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Dodge Dart 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/dart/annonce-134577","Dodge Dart 2013 Dakar","Année: 2013","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626612-9","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Citroen C3 2019","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-134576","Citroen C3 2019 Dakar","Année: 2019","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626616-10","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Mazda Cx-5 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx-5/annonce-134575","Mazda Cx-5 2013 Dakar","Année: 2013","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626619-11","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Nissan Juke 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/juke/annonce-134574","Nissan Juke 2012 Dakar","Année: 2012","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626622-12","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Fusion 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134580","Ford Fusion 2017 Dakar","Année: 2017","25 000 F CFA","Ouest Foire                    
                
                                    
                        Dakar","Logivit  Express"
"1752626627-13","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Fusion 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134582","Ford Fusion 2017 Dakar","Année: 2017","30 000 F CFA","Point-E                    
                
                                    
                        Dakar","Ousmane diagne"
"1752626631-14","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Hyundai Sonata 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-134593","Hyundai Sonata 2014 Dakar","Année: 2014","25 000 F CFA","Médina                    
                
                                    
                        Dakar","Kena Impact  Groupes"
"1752626634-15","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Mercedes Sprinter 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/sprinter/annonce-134592","Mercedes Sprinter 2016 Dakar","Année: 2016","15 000 F CFA","Hann Bel-Air                    
                
                                    
                        Dakar","Kena Impact  Groupes"
"1752626637-16","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Transit 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/transit/annonce-134591","Ford Transit 2016 Dakar","Année: 2016","60 000 F CFA","Médina                    
                
                                    
                        Dakar","Kena Impact  Groupes"
"1752626643-17","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Ford ESCAPE-SE 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134589","Ford ESCAPE-SE 2013 Dakar","Année: 2013","40 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1752626646-18","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Peugeot 308 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-134588","Peugeot 308 2012 Dakar","Année: 2012","25 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1752626649-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Toyota Hiace 2020","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hiace/annonce-134599","Toyota Hiace 2020 Dakar","Année: 2020","NC","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Mapauto sn"
"1752626652-20","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Mercedes Viano 2010","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/viano/annonce-134598","Mercedes Viano 2010 Dakar","Année: 2010","NC","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Mapauto sn"
"1752626655-21","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Peugeot 508 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/508/annonce-134597","Peugeot 508 2016 Dakar","Année: 2016","NC","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Mapauto sn"
"1752626658-22","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Renault Master 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/renault/master/annonce-134618","Renault Master 2017 Dakar","Année: 2017","NC","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626661-23","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Nissan Juke 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/juke/annonce-134619","Nissan Juke 2012 Dakar","Année: 2012","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626665-24","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Volkswagen Jetta 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-134682","Volkswagen Jetta 2016 Dakar","Année: 2016","20 000 F CFA","Plateau                    
                
                                    
                        Dakar","Senegal TCS  ventes et locations"
"1752626668-25","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Land Rover range-rover-sport 2020","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/land-rover/range-rover-sport/annonce-134738","Land Rover range-rover-sport 2020 Dakar","Année: 2020","150 000 F CFA","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Mapauto sn"
"1752626672-26","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Mercedes Classe S 500 2018","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/classe-s-500/annonce-134739","Mercedes Classe S 500 2018 Dakar","Année: 2018","170 000 F CFA","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Mapauto sn"
"1752626675-27","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Mercedes Viano 2010","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/viano/annonce-134740","Mercedes Viano 2010 Dakar","Année: 2010","NC","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Mapauto sn"
"1752626678-28","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Nissan ROGUE 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/rogue/annonce-134801","Nissan ROGUE 2016 Dakar","Année: 2016","40 000 F CFA","Hann Bel-Air                    
                
                                    
                        Dakar","PAPA ."
"1752626681-29","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Ford Flex-limited 2019","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/flex-limited/annonce-134803","Ford Flex-limited 2019 Dakar","Année: 2019","60 000 F CFA","Hann Bel-Air                    
                
                                    
                        Dakar","PAPA ."
"1752626684-30","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Ford ESCAPE-SE 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134671","Ford ESCAPE-SE 2014 Dakar","Année: 2014","40 000 F CFA","Ouest Foire                    
                
                                    
                        Dakar","Optimus Debugger"
"1752626688-31","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Ford ESCAPE-SE 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134842","Ford ESCAPE-SE 2017 Dakar","Année: 2017","35 000 F CFA","Grand-Yoff                    
                
                                    
                        Dakar","Transcar via  Sénégal"
"1752626691-32","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Ford Edge 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-134856","Ford Edge 2013 Dakar","Année: 2013","35 000 F CFA","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","A-T Auto"
"1752626694-33","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Volkswagen Jetta 2018","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-134894","Volkswagen Jetta 2018 Dakar","Année: 2018","20 000 F CFA","Grand-Dakar                    
                
                                    
                        Dakar","A vos  services"
"1752626700-34","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Hyundai Sonata 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-134908","Hyundai Sonata 2015 Dakar","Année: 2015","40 000 F CFA","Yoff                    
                
                                    
                        Dakar","Abdia ..."
"1752626704-35","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","Mitsubishi Outlander 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/outlander/annonce-134914","Mitsubishi Outlander 2015 Dakar","Année: 2015","35 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626712-36","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Ford ESCAPE-SE 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134918","Ford ESCAPE-SE 2016 Dakar","Année: 2016","35 000 F CFA","Grand-Yoff                    
                
                                    
                        Dakar","Transcar via  Sénégal"
"1752626715-37","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Nissan Pathfinder 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/pathfinder/annonce-134922","Nissan Pathfinder 2016 Dakar","Année: 2016","40 000 F CFA","Ouakam                    
                
                                    
                        Dakar","LOCA VOITURE  DAKAR"
"1752626718-38","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Hyundai Elantra 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134934","Hyundai Elantra 2016 Dakar","Année: 2016","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","MBD  VOITURE"
"1752626720-39","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Mercedes Classe C 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/classe-c/annonce-134935","Mercedes Classe C 2016 Dakar","Année: 2016","100 000 F CFA","Mamelles                    
                
                                    
                        Dakar","Start& Drive"
"1752626725-40","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Ford Fusion 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134945","Ford Fusion 2014 Dakar","Année: 2014","35 000 F CFA","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Originodesign  Market"
"1752626728-41","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Toyota Hilux 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-134963","Toyota Hilux 2012 Dakar","Année: 2012","40 000 F CFA","Hann Maristes                    
                
                                    
                        Dakar","travelsencar .."
"1752626733-42","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Mitsubishi RVR 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/rvr/annonce-134991","Mitsubishi RVR 2016 Dakar","Année: 2016","20 000 F CFA","Ouakam                    
                
                                    
                        Dakar","LOCA VOITURE  DAKAR"
"1752626736-43","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Peugeot 5008 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/5008/annonce-135035","Peugeot 5008 2017 Dakar","Année: 2017","3 F CFA","Parcelles Assainies                    
                
                                    
                        Dakar","Rasta Gadio"
"1752626739-44","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Chevrolet Equinox 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-135047","Chevrolet Equinox 2016 Dakar","Année: 2016","30 000 F CFA","Cité Keur gorgui                    
                
                                    
                        Dakar","Augustin  Ndiaye"
"1752626742-45","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Hyundai Santa Fe 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/santa-fe/annonce-135109","Hyundai Santa Fe 2016 Dakar","Année: 2016","25 000 F CFA","Sicap Foire                    
                
                                    
                        Dakar","AMautomobile ."
"1752626745-46","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Toyota Rav 4 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/rav-4/annonce-135113","Toyota Rav 4 2016 Dakar","Année: 2016","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626748-47","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Peugeot Partner 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/partner/annonce-135122","Peugeot Partner 2016 Dakar","Année: 2016","25 000 F CFA","Ngor                    
                
                                    
                        Dakar","J. M"
"1752626752-48","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Hyundai Tucson 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135128","Hyundai Tucson 2016 Dakar","Année: 2016","40 000 F CFA","Liberté 2                    
                
                                    
                        Dakar","SEN  BAZAR"
"1752626757-49","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Kia Sorento 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sorento/annonce-135145","Kia Sorento 2016 Dakar","Année: 2016","40 000 F CFA","Yoff                    
                
                                    
                        Dakar","Abdia ..."
"1752626761-50","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Kia Sportage 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-135158","Kia Sportage 2016 Dakar","Année: 2016","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626765-51","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Jeep GRAND-CHEROKEE-LIMITED 2020","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/jeep/grand-cherokee-limited/annonce-135180","Jeep GRAND-CHEROKEE-LIMITED 2020 Dakar","Année: 2020","100 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","Khardiata  LY"
"1752626770-52","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Hyundai Santa Fe 2018","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/santa-fe/annonce-135181","Hyundai Santa Fe 2018 Dakar","Année: 2018","50 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","Khardiata  LY"
"1752626773-53","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Kia Sportage 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-134685","Kia Sportage 2016 Dakar","Année: 2016","25 000 F CFA","Ngor                    
                
                                    
                        Dakar","Alcine ."
"1752626776-54","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Hyundai Accent 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/accent/annonce-135202","Hyundai Accent 2015 Dakar","125000 km","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","Penda NDIAYE"
"1752626781-55","https://dakar-auto.com/senegal/location-de-voitures-19?&page=6","Nissan ROGUE 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/rogue/annonce-135204","Nissan ROGUE 2016 Dakar","Année: 2016","35 000 F CFA","Parcelles Assainies                    
                
                                    
                        Dakar","XLOC ."
"1752626789-56","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford ESCAPE-SE 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135206","Ford ESCAPE-SE 2012 Dakar","Année: 2012","35 000 F CFA","Parcelles Assainies                    
                
                                    
                        Dakar","XLOC ."
"1752626792-57","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford ESCAPE-SE 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135213","Ford ESCAPE-SE 2016 Dakar","Année: 2016","35 000 F CFA","Almadies                    
                
                                    
                        Dakar","ahmad ."
"1752626796-58","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Peugeot 308 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-135228","Peugeot 308 2012 Dakar","Année: 2012","20 000 F CFA","Keur Massar                    
                
                                    
                        Dakar","Lamine  Djitte"
"1752626800-59","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Citroen C3 2019","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-135232","Citroen C3 2019 Dakar","Année: 2019","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626805-60","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford Focus 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/focus/annonce-135233","Ford Focus 2016 Dakar","Année: 2016","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626808-61","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Toyota Avensis 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/avensis/annonce-135299","Toyota Avensis 2014 Dakar","Année: 2014","20 000 F CFA","Fass                    
                
                                    
                        Kaolack","Easy_Trip_ Sen"
"1752626811-62","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford ESCAPE-SE 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135300","Ford ESCAPE-SE 2013 Dakar","Année: 2013","30 000 F CFA","Fass                    
                
                                    
                        Kaolack","Easy_Trip_ Sen"
"1752626815-63","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford Focus 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/focus/annonce-135129","Ford Focus 2016 Dakar","Année: 2016","25 000 F CFA","Médina                    
                
                                    
                        Dakar","SEN  BAZAR"
"1752626818-64","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford Escape-Titanium 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-titanium/annonce-135383","Ford Escape-Titanium 2016 Dakar","Année: 2016","35 000 F CFA","VDN                    
                
                                    
                        Dakar","MODOU  LO"
"1752626822-65","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford ESCAPE-SE 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135386","Ford ESCAPE-SE 2014 Dakar","Année: 2014","30 000 F CFA","Plateau                    
                
                                    
                        Dakar","Abibatou  Diop"
"1752626825-66","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Hyundai Sonata 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-135392","Hyundai Sonata 2013 Dakar","Année: 2013","25 000 F CFA","VDN                    
                
                                    
                        Dakar","MODOU  LO"
"1752626830-67","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford Fusion 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-135441","Ford Fusion 2013 Dakar","Année: 2013","35 000 F CFA","Mermoz Sacré-Coeur                    
                
                                    
                        Dakar","Originodesign  Market"
"1752626835-68","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Hyundai mini-bus-hyundai 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/mini-bus-hyundai/annonce-135452","Hyundai mini-bus-hyundai 2013 Dakar","Année: 2013","60 000 F CFA","Ouakam                    
                
                                    
                        Dakar","SYLLA BUSINESS  GROUP"
"1752626843-69","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford ESCAPE-SE 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135454","Ford ESCAPE-SE 2014 Dakar","Année: 2014","35 000 F CFA","Ouakam                    
                
                                    
                        Dakar","SYLLA BUSINESS  GROUP"
"1752626847-70","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Mercedes ML 350 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/ml-350/annonce-135459","Mercedes ML 350 2016 Dakar","Année: 2016","60 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626851-71","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Ford Explorer 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-135461","Ford Explorer 2016 Dakar","Année: 2016","60 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626854-72","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Toyota Hilux 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-135490","Toyota Hilux 2016 Dakar","Année: 2016","50 000 F CFA","Grand-Dakar                    
                
                                    
                        Dakar","Bouly  DIEDHIOU"
"1752626858-73","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Toyota Hiace 2021","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hiace/annonce-135505","Toyota Hiace 2021 Dakar","Année: 2021","70 000 F CFA","Ouakam                    
                
                                    
                        Dakar","SYLLA BUSINESS  GROUP"
"1752626861-74","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Hyundai Elantra 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135566","Hyundai Elantra 2013 Dakar","Année: 2013","30 000 F CFA","Nord Foire                    
                
                                    
                        Dakar","Julie  Campara"
"1752626865-75","https://dakar-auto.com/senegal/location-de-voitures-19?&page=5","Hyundai Tucson 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135702","Hyundai Tucson 2016 Dakar","Année: 2016","30 000 F CFA","Liberté 4                    
                
                                    
                        Dakar","Caroline ,"
"1752626872-76","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4","Ford ESCAPE-SE 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135753","Ford ESCAPE-SE 2016 Dakar","Année: 2016","40 000 F CFA","Yoff                    
                
                                    
                        Dakar","Babacar ba  résidence"
"1752626875-77","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4","Peugeot 308 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-135756","Peugeot 308 2012 Dakar","Année: 2012","25 000 F CFA","Mamelles                    
                
                                    
                        Dakar","Auto business  Dakar"
